rank,country,iso,power_index,defense_budget_usd_2026,data_year,source,defense_budget_usd_billion,Active_Personnel,Reserve_Personnel,Paramilitary_Personnel,Tanks,Armored_Fighting_Vehicles,Total_Aircraft,Naval_Fleet_Ships,Total_Naval_Fleet,Aircraft_Carriers,Submarines,Destroyers,Frigates,Total_Aircraft,Fighter_Interceptor_Aircraft,Transport_Aircraft,Helicopters,Attack_Helicopters,Fighter_Share_of_Total_%,Helicopter_Share_of_Total_%,Attack_Helicopter_Share_of_Helicopters_%,Transport_Share_of_Total_%,Total_Manpower_Active,Tanks,Armored_Fighting_Vehicles,Self_Propelled_Artillery,Towed_Artillery,Rocket_Projectors_MLRS
38,Portugal,POR,0.6659,6760000000,2026,Global Firepower,6.76,25000,23500,23300,34,10419,128,128,128,0,2,0,5,128,28,20,36,0,21.88,28.12,0,15.62,25000,34,10419,23,54,
39,Norway,NOR,0.6679,11189483200,2026,Global Firepower,11.1894832,33440,20100,40500,36,11441,109,48,48,0,6,0,4,109,0,4,34,0,0,31.19,0,3.67,33440,36,11441,28,,
40,South Africa,SAF,0.6843,2877000000,2026,Global Firepower,2.877,68731,29350,50000,248,23024,181,63,63,0,3,0,4,181,2,11,87,10,1.1,48.07,11.49,6.08,68731,248,23024,52,434,201
41,Philippines,PHL,0.6993,6571641011,2026,Global Firepower,6.571641011,160000,1500000,35000,18,20551,204,127,127,0,0,0,4,204,0,23,130,6,0,63.73,4.62,11.27,160000,18,20551,12,296,
42,Malaysia,MLY,0.7379,5100000000,2026,Global Firepower,5.1,113000,51600,100000,48,15415,132,100,100,0,2,0,2,132,25,15,45,0,18.94,34.09,0,11.36,113000,48,15415,,196,36
43,Colombia,COL,0.7551,15800000000,2026,Global Firepower,15.8,429000,998000,150000,0,12780,430,213,213,0,4,0,9,430,16,82,255,0,3.72,59.3,0,19.07,429000,0,12780,6,110,
44,Iraq,IRQ,0.8115,8000000000,2026,Global Firepower,8,193000,0,100000,1188,37496,360,67,67,0,0,0,0,360,26,15,183,39,7.22,50.83,21.31,4.17,193000,1188,37496,434,610,572
45,Denmark,DEN,0.8198,14250000000,2026,Global Firepower,14.25,21000,12000,51000,44,5930,122,50,50,0,0,0,9,122,26,4,34,0,21.31,27.87,0,3.28,21000,44,5930,19,,8
46,Switzerland,SWZ,0.8396,8372658426,2026,Global Firepower,8.372658426,147178,0,5000,134,6885,141,0,0,0,0,0,0,141,40,16,39,0,28.37,27.66,0,11.35,147178,134,6885,133,,
47,Ethiopia,ETH,0.8525,3720968976,2026,Global Firepower,3.720968976,503000,138000,0,338,8586,104,0,0,0,0,0,0,104,25,9,33,7,24.04,31.73,21.21,8.65,503000,338,8586,142,469,79
